citizenship,citizenshipLabel,n
"<http://www.wikidata.org/entity/Q30>","United States",1034
"<http://www.wikidata.org/entity/Q183>","Germany",694
"<http://www.wikidata.org/entity/Q142>","France",464
"<http://www.wikidata.org/entity/Q174193>","United Kingdom of Great Britain and Ireland",456
"<http://www.wikidata.org/entity/Q145>","United Kingdom",346
"<http://www.wikidata.org/entity/Q15180>","Soviet Union",301
"<http://www.wikidata.org/entity/Q155>","Brazil",239
"<http://www.wikidata.org/entity/Q34266>","Russian Empire",188
"<http://www.wikidata.org/entity/Q39>","Switzerland",184
"<http://www.wikidata.org/entity/Q36>","Poland",166
"<http://www.wikidata.org/entity/Q29999>","Kingdom of the Netherlands",161
"<http://www.wikidata.org/entity/Q34>","Sweden",153
"<http://www.wikidata.org/entity/Q43287>","German Empire",148
"<http://www.wikidata.org/entity/Q17>","Japan",148
"<http://www.wikidata.org/entity/Q40>","Austria",137
"<http://www.wikidata.org/entity/Q29>","Spain",129
"<http://www.wikidata.org/entity/Q664>","New Zealand",122
"<http://www.wikidata.org/entity/Q408>","Australia",113
"<http://www.wikidata.org/entity/Q159>","Russia",106
"<http://www.wikidata.org/entity/Q191>","Estonia",101
"<http://www.wikidata.org/entity/Q20>","Norway",96
"<http://www.wikidata.org/entity/Q28>","Hungary",94
"<http://www.wikidata.org/entity/Q148>","People's Republic of China",91
"<http://www.wikidata.org/entity/Q172579>","Kingdom of Italy",91
"<http://www.wikidata.org/entity/Q33>","Finland",81
"<http://www.wikidata.org/entity/Q258>","South Africa",79
"<http://www.wikidata.org/entity/Q31>","Belgium",78
"<http://www.wikidata.org/entity/Q33946>","Czechoslovakia",78
"<http://www.wikidata.org/entity/Q188712>","Empire of Japan",74
"<http://www.wikidata.org/entity/Q38>","Italy",68
"<http://www.wikidata.org/entity/Q16>","Canada",68
"<http://www.wikidata.org/entity/Q756617>","Kingdom of Denmark",63
"<http://www.wikidata.org/entity/Q161885>","Kingdom of Great Britain",62
"<http://www.wikidata.org/entity/Q131964>","Austrian Empire",55
"<http://www.wikidata.org/entity/Q668>","India",49
"<http://www.wikidata.org/entity/Q218>","Romania",45
"<http://www.wikidata.org/entity/Q28513>","Austria-Hungary",45
"<http://www.wikidata.org/entity/Q414>","Argentina",43
"<http://www.wikidata.org/entity/Q96>","Mexico",42
"<http://www.wikidata.org/entity/Q1206012>","German Reich",41
"<http://www.wikidata.org/entity/Q213>","Czech Republic",40
"<http://www.wikidata.org/entity/Q45>","Portugal",35
"<http://www.wikidata.org/entity/Q129286>","British Raj",28
"<http://www.wikidata.org/entity/Q27>","Ireland",26
"<http://www.wikidata.org/entity/Q212>","Ukraine",26
"<http://www.wikidata.org/entity/Q533534>","Cisleithania",25
"<http://www.wikidata.org/entity/Q32>","Luxembourg",23
"<http://www.wikidata.org/entity/Q739>","Colombia",21
"<http://www.wikidata.org/entity/Q27306>","Kingdom of Prussia",21
"<http://www.wikidata.org/entity/Q219>","Bulgaria",20
"<http://www.wikidata.org/entity/Q43>","Turkey",20
"<http://www.wikidata.org/entity/Q801>","Israel",20
"<http://www.wikidata.org/entity/Q1775277>","Dominion of India",19
